,State,County,City,Street,Zipcode,Property_Type,Status,Price,Year_Built,Beds,Bath,Sqft,Acre,Lot Area,HOA Due,School_rating,WalkScore,Bike_Score,Garage_availability,Redfin_estimate
0,CA,San-Mateo-County,SAN MATEO,10 Crystal Springs Rd #1503,94402,Condo,Active,"2,200,000",2008,2.0,3.0,1698.0,"1,698Sq Ft",,,7,95,61.0,Yes,"2,177,405"
1,CA,San-Mateo-County,BELMONT,2047 Monroe Ave,94002,Single Family Home,Active,"1,595,000",1953,3.0,2.0,1280.0,"1,280Sq Ft","4,900 Sq. Ft.",,9,35,20.0,Yes,"1,685,829"
2,CA,San-Mateo-County,WOODSIDE,36 Skyline Dr,94062,Single Family Home,Active,"3,500,000",1934,4.0,3.5,4265.0,"4,265Sq Ft",0.86 Acres,,8,6,14.0,Yes,"3,525,415"
3,CA,San-Mateo-County,Menlo Park,675 Sharon Park Dr #240,94025,Condo,Active,"999,000",1968,2.0,2.0,986.0,986Sq Ft,5.34 Acres,,8,65,60.0,No,"1,000,212"
4,CA,San-Mateo-County,San Mateo,205 Ramona St,94401,Single Family Residential,Active,"899,000",1925,3.0,2.0,1110.0,"1,110Sq Ft","5,175 Sq. Ft.",,7,95,78.0,Yes,"933,556"
5,CA,San-Mateo-County,SOUTH SAN FRANCISCO,21 Pointe View Pl,94080,Single Family Home,Active,"1,298,000",2004,4.0,3.5,2490.0,"2,490Sq Ft","3,434 Sq. Ft.",,7,64,42.0,Yes,"1,309,718"
6,CA,San-Mateo-County,SAN MATEO,425 Hillcrest Rd,94402,Single Family Home,Active,"3,875,000",1920,4.0,4.0,3530.0,"3,530Sq Ft",0.27 Acres,,7,23,20.0,Yes,"3,871,195"
7,CA,San-Mateo-County,REDWOOD CITY,1228 Ebener St,94061,Single Family Home,Active,"1,998,000",1990,4.0,3.5,3060.0,"3,060Sq Ft","7,580 Sq. Ft.",,6,77,71.0,Yes,"2,029,582"
8,CA,San-Mateo-County,Daly City,1083 South Mayfair Ave,94015,Single Family Residential,Active,"1,299,000",1954,2.0,3.0,1505.0,"1,505Sq Ft","3,200 Sq. Ft.",,7,46,36.0,Yes,
9,CA,San-Mateo-County,MENLO PARK,854 Cambridge Ave,94025,Single Family Home,Active,"2,993,000",1948,4.0,3.0,1710.0,"1,710Sq Ft","7,560 Sq. Ft.",,9,73,94.0,Yes,"3,022,361"
10,CA,San-Mateo-County,REDWOOD CITY,190 Opal Ave,94062,Single Family Home,Active,"2,850,000",1941,3.0,3.0,2055.0,"2,055Sq Ft","7,205 Sq. Ft.",,9,48,66.0,Yes,"2,854,803"
11,CA,San-Mateo-County,Belmont,1502 Pine Knoll Dr,94002,Single Family Residential,Active,"3,000,000",1940,4.0,3.0,2220.0,"2,220Sq Ft",0.48 Acres,,9,23,27.0,Yes,"3,151,105"
12,CA,San-Mateo-County,MILLBRAE,330 Marcella Way,94030,Single Family Home,Active,"1,950,000",1955,3.0,2.0,1440.0,"1,440Sq Ft","8,400 Sq. Ft.",,9,46,39.0,Yes,"1,971,180"
13,CA,San-Mateo-County,MENLO PARK,218 Stanford Ave,94025,Single Family Home,Active,"3,795,000",1945,4.0,3.0,2525.0,"2,525Sq Ft","5,650 Sq. Ft.",,8,54,90.0,Yes,"3,885,629"
14,CA,San-Mateo-County,REDWOOD CITY,3499 E Bayshore Rd #114,94063,Single-Wide Mobile Home,Active,"180,000",1961,4.0,1.0,500.0,500Sq Ft,,,7,43,54.0,No,"178,503"
15,CA,San-Mateo-County,SAN CARLOS,343 Fairfield Dr,94070,Single Family Home,Active,"1,560,000",1948,3.0,1.0,1100.0,"1,100Sq Ft","5,000 Sq. Ft.",,9,82,73.0,Yes,"1,551,782"
16,CA,San-Mateo-County,PORTOLA VALLEY,266 Old Spanish Trl,94028,Single Family Home,Active,"2,575,000",1965,4.0,2.0,2000.0,"2,000Sq Ft",1.49 Acres,,8,0,5.0,Yes,"2,598,313"
17,CA,San-Mateo-County,SAN BRUNO,131 Camellia Ct,94066,Single Family Home,Active,"1,498,000",1958,4.0,2.0,1580.0,"1,580Sq Ft","6,313 Sq. Ft.",,6,27,9.0,Yes,"1,525,029"
18,CA,San-Mateo-County,BELMONT,1134 Continentals Way,94002,Townhouse,Active,"1,388,000",1977,3.0,2.5,1590.0,"1,590Sq Ft","2,400 Sq. Ft.",,9,46,35.0,Yes,"1,469,144"
19,CA,San-Mateo-County,PACIFICA,741 Rockaway Beach Ave,94044,Single Family Home,Active,"2,650,000",1978,5.0,3.0,3650.0,"3,650Sq Ft",0.27 Acres,,7,33,8.0,Yes,"2,680,045"
20,CA,San-Mateo-County,ATHERTON,42 Camino Por Los Arboles,94027,Single Family Home,Active,"13,900,000",2001,4.0,4.0,7104.0,"7,104Sq Ft",1.10 Acres,,9,29,70.0,Yes,"13,930,771"
21,CA,San-Mateo-County,MENLO PARK,2355 Sharon Oaks Dr,94025,Townhouse,Active,"2,135,000",1975,2.0,2.0,1700.0,"1,700Sq Ft","2,623 Sq. Ft.",,8,68,93.0,Yes,"2,171,211"
22,CA,San-Mateo-County,San Mateo,102 Waters Park Cir,94403,Townhouse,New,"1,463,917",2021,2.0,2.5,1602.0,"1,602Sq Ft",,,7,48,75.0,Yes,"1,462,581"
23,CA,San-Mateo-County,Daly City,70 Woodside Ave,94015,Single Family Residential,Active,"1,459,000",1960,3.0,2.0,1230.0,"1,230Sq Ft","3,400 Sq. Ft.",,7,56,25.0,Yes,
24,CA,San-Mateo-County,SAN CARLOS,3308 Melendy Dr,94070,Single Family Home,Active,"3,298,000",1966,3.0,2.5,2470.0,"2,470Sq Ft","7,630 Sq. Ft.",,9,13,11.0,Yes,"3,298,307"
25,CA,San-Mateo-County,SAN MATEO,1840 El Parque Ct,94403,Fourplex,Active,"2,500,000",1964,8.0,7.0,4020.0,"4,020Sq Ft","8,024 Sq. Ft.",,7,60,75.0,No,"2,490,523"
26,CA,San-Mateo-County,MENLO PARK,805 Curtis St,94025,Townhouse,Active,"1,129,000",1981,2.0,2.5,1218.0,"1,218Sq Ft",0.52 Acres,,8,94,95.0,Yes,"1,163,125"
27,CA,San-Mateo-County,San Mateo,111 Waters Park Cir,94403,Townhouse,New,"1,724,990",2022,4.0,3.5,2088.0,"2,088Sq Ft",,,7,48,75.0,Yes,"1,713,331"
28,CA,San-Mateo-County,REDWOOD CITY,650 Castle Hill Rd,94061,Single Family Home,Active,"3,398,000",1961,5.0,3.0,2790.0,"2,790Sq Ft",1.24 Acres,,8,21,27.0,Yes,"3,541,468"
29,CA,San-Mateo-County,SOUTH SAN FRANCISCO,435 Yellowstone Dr,94080,Single Family Home,Active,"1,398,000",1959,3.0,2.0,1360.0,"1,360Sq Ft","5,040 Sq. Ft.",,6,11,11.0,Yes,
30,CA,San-Mateo-County,WOODSIDE,1550 Portola Rd,94062,Single Family Home,Active,"18,999,000",1918,5.0,5.0,7185.0,"7,185Sq Ft",7 Acres,,8,2,45.0,Yes,"17,999,974"
31,CA,San-Mateo-County,SAN MATEO,4 W Santa Inez Ave,94402,Other Residential,Active,"6,000,000",1917,4.0,1.5,1350.0,"1,350Sq Ft","5,508 Sq. Ft.",,7,76,36.0,Yes,
32,CA,San-Mateo-County,REDWOOD CITY,163 Somerset St,94062,Single Family Home,Active,"2,700,000",1925,3.0,2.0,1920.0,"1,920Sq Ft","6,500 Sq. Ft.",,9,55,61.0,Yes,"2,755,321"
