State,County,City,Street,Zipcode,Property_Type,Status,Price,Year_Built,Beds,Bath,Sqft,Lot Area,HOA Due,School_rating,WalkScore,Bike_Score,Garage_availability,Redfin_estimate
Ca,Contra-costa-county,Oakley,2537 talaria dr,94561,Single family residential,Back on market,649999.0,2014,3.0,2.5,2279.0,6228.0,114.0,6,6,35.0,Yes,655836.0
Ca,Contra-costa-county,Pleasant hill,66 kathryn dr,94523,Single family residential,Price change,998000.0,1952,3.0,1.0,1315.0,6650.0,0.0,8,83,76.0,Yes,1048496.0
Ca,Contra-costa-county,San ramon,3246 ensenada dr,94583,Single family residential,New,1395000.0,1976,4.0,2.5,1880.0,7000.0,0.0,9,26,67.0,Yes,1413765.0
Ca,Contra-costa-county,Rodeo,30 london ln,94572,Single family residential,New,1249000.0,2022,4.0,3.5,2996.0,4850.0,0.0,0,4,8.0,Yes,0.0
Ca,Contra-costa-county,Pittsburg,153 shannon,94565,Mobile/manufactured home,Active,159900.0,2022,2.0,1.0,720.0,8760.0,0.0,5,7,30.0,Yes,160645.0
Ca,Contra-costa-county,Pleasant hill,366 scarlet oak ct,94523,Single family residential,Active,999000.0,1981,3.0,2.0,1438.0,6299.0,158.0,8,53,59.0,Yes,1010186.0
Ca,Contra-costa-county,Richmond,2300 foothill ave,94804,Multi-family (2-4 unit),Active,825000.0,1956,4.0,2.0,2408.0,6098.0,0.0,2,69,53.0,No,822190.0
Ca,Contra-costa-county,Antioch,3620 freedom,94509,Single family residential,Active,698000.0,1989,4.0,3.0,2135.0,4769.0,0.0,3,26,54.0,Yes,0.0
Ca,Contra-costa-county,Oakley,43 sugarbush ct,94561,Single family residential,New,618900.0,2012,3.0,2.0,1490.0,5100.0,0.0,7,36,54.0,Yes,621156.0
Ca,Contra-costa-county,Pittsburg,203 heron dr,94565,Townhouse,New,575000.0,1991,3.0,2.5,1606.0,4747.0,272.0,4,75,50.0,Yes,575622.0
Ca,Contra-costa-county,Walnut creek,187 lancaster rd,94595,Single family residential,New,1199000.0,1938,3.0,2.0,1257.0,13503.6,0.0,9,3,38.0,Yes,0.0
Ca,Contra-costa-county,San ramon,2737 fountainhead dr,94583,Townhouse,Active,795000.0,1973,3.0,1.5,1276.0,880.0,395.0,9,22,11.0,Yes,798311.0
Ca,Contra-costa-county,Antioch,5101 portola ct,94531,Single family residential,Active,649000.0,1992,3.0,2.0,1720.0,6385.0,0.0,5,61,36.0,Yes,649769.0
Ca,Contra-costa-county,Antioch,3037 butternut st,94509,Single family residential,New,550000.0,1992,3.0,2.0,1335.0,5000.0,0.0,5,19,40.0,Yes,552509.0
Ca,Contra-costa-county,Lafayette,2625 olympic blvd,94595,Single family residential,Active,1349000.0,1949,4.0,2.0,2044.0,11325.6,0.0,9,36,24.0,Yes,1357076.0
Ca,Contra-costa-county,Bay point,401 marina rd,94565,Single family residential,Active,479000.0,1953,3.0,1.0,955.0,5750.0,0.0,3,19,37.0,No,486129.0
Ca,Contra-costa-county,Antioch,3112 elizabeth ln,94509,Single family residential,New,499950.0,1954,3.0,1.0,961.0,5000.0,0.0,3,47,32.0,Yes,506417.0
Ca,Contra-costa-county,Moraga,36 greenfield dr,94556,Single family residential,Active,1795000.0,1970,4.0,2.0,2474.0,14810.400000000001,0.0,9,15,31.0,Yes,1857110.0
Ca,Contra-costa-county,Danville,575 sycamore cir,94526,Townhouse,Active,750000.0,1973,2.0,1.5,1148.0,912.0,495.0,9,60,69.0,Yes,757140.0
Ca,Contra-costa-county,Concord,963 alla ave,94518,Single family residential,Price change,659000.0,1958,3.0,2.0,1247.0,6111.0,0.0,4,44,45.0,Yes,670676.0
